0 0 0
1 35 16384
2 278 24576
3 291 32768
4 320 32768
5 1077 40960
6 1086 40960
7 1112 40960
8 1438 40960
9 1449 40960
10 1668 49152
11 1684 49152
12 1714 49152
13 1761 49152
14 2373 49152
15 2576 49152
16 2588 49152
17 2620 49152
18 3366 49152
19 3354 49152
20 3364 49152
21 3430 49152
22 3211 49152
23 3824 49152
24 3842 49152
25 4112 49152
26 4355 49152
27 4487 49152
28 4615 49152
29 5600 49152
30 5907 49152
31 5945 49152
32 6392 49152
33 6411 49152
34 6364 49152
35 6473 49152
36 6732 49152
37 6473 49152
38 6457 49152
39 6465 49152
40 6526 49152
41 5780 49152
42 5454 49152
43 6332 49152
44 6503 49152
45 6682 49152
46 6938 49152
47 6950 49152
48 6193 49152
49 6567 49152
50 6691 49152
51 6679 49152
52 6547 49152
53 6580 49152
54 6545 49152
55 7092 49152
56 7104 49152
57 6848 49152
58 7618 49152
59 7605 49152
60 7692 49152
61 7835 49152
62 8132 49152
63 8414 49152
64 8867 49152
65 9093 49152
66 8786 49152
67 8796 49152
68 8843 49152
69 8866 49152
70 8876 49152
71 9812 49152
72 9839 49152
73 9807 49152
74 9720 49152
75 10278 49152
76 10255 49152
77 10229 49152
78 10360 49152
79 10996 57344
80 11150 57344
81 10853 57344
82 10864 57344
83 10826 57344
84 10583 57344
85 10598 57344
86 10587 57344
87 10651 57344
88 10425 57344
89 10410 57344
90 10493 57344
91 10552 57344
92 10533 57344
93 10866 57344
94 10839 57344
95 11023 57344
96 11340 57344
97 10727 57344
98 10934 57344
99 9998 57344
100 9968 57344
101 10315 57344
102 10108 57344
103 10129 57344
104 10205 57344
105 10298 57344
106 10286 57344
107 9833 57344
108 9823 57344
109 9757 57344
110 9573 57344
111 9526 57344
112 9515 57344
113 9497 57344
114 9123 57344
115 9113 57344
116 9020 57344
117 9011 57344
118 8241 57344
119 8388 57344
120 8241 57344
121 7694 57344
122 8524 57344
123 7912 57344
124 7758 57344
125 7776 57344
126 7766 57344
127 6781 57344
128 5951 57344
129 6021 57344
130 5850 57344
131 5707 57344
132 5149 57344
133 5088 57344
134 5099 57344
135 5130 57344
136 5159 57344
137 5577 57344
138 5590 57344
139 5257 57344
140 5523 57344
141 5582 57344
142 5339 57344
143 5418 57344
144 5387 57344
145 4751 49152
146 4687 49152
147 4563 49152
148 4603 49152
149 4475 49152
150 4442 49152
151 4575 49152
152 4546 49152
153 4648 49152
154 4378 49152
155 4061 49152
156 3952 49152
157 3961 49152
158 3940 49152
159 3932 49152
160 3944 49152
161 3597 49152
162 3527 49152
163 3468 49152
164 3486 49152
165 3457 49152
166 3039 49152
167 3070 49152
168 2192 40960
169 2061 40960
170 2021 40960
171 2003 40960
172 2588 49152
173 2512 49152
174 2879 49152
175 2796 49152
176 2737 49152
177 2706 49152
178 2693 49152
179 3191 49152
180 3313 49152
181 3234 40960
182 3222 40960
183 2855 40960
184 2753 40960
185 2255 40960
186 2408 40960
187 2229 40960
188 1947 40960
189 1936 40960
190 1814 40960
191 2714 40960
192 2705 40960
193 1805 40960
194 1787 32768
195 1584 32768
196 1137 32768
197 552 24576
198 286 16384
199 133 16384
200 0 0
